experiment_name,run_name,dataset_name,run_number,execution_time_ms,n,t,nx,timestamp
step_size_fixed,aberth_300,rootfind_stepsize_300,2,4341.563,10,30,3,2025-08-21 19:30:09
step_size_fixed,aberth_300,rootfind_stepsize_300,3,4118.338,10,30,3,2025-08-21 19:30:14
step_size_fixed,aberth_300,rootfind_stepsize_300,4,4044.276,10,30,3,2025-08-21 19:30:18
step_size_fixed,aberth_300,rootfind_stepsize_300,5,3997.725,10,30,3,2025-08-21 19:30:22
step_size_fixed,aberth_300,rootfind_stepsize_300,6,4091.126,10,30,3,2025-08-21 19:30:26
step_size_fixed,aberth_300,rootfind_stepsize_300,7,4103.393,10,30,3,2025-08-21 19:30:30
step_size_fixed,aberth_300,rootfind_stepsize_300,8,4174.372,10,30,3,2025-08-21 19:30:34
step_size_fixed,aberth_300,rootfind_stepsize_300,9,4154.591,10,30,3,2025-08-21 19:30:38
step_size_fixed,aberth_300,rootfind_stepsize_300,10,4175.598,10,30,3,2025-08-21 19:30:42
step_size_fixed,aberth_300,rootfind_stepsize_300,11,4210.009,10,30,3,2025-08-21 19:30:47
step_size_fixed,aberth_300,rootfind_stepsize_300,12,4233.057,10,30,3,2025-08-21 19:30:51
step_size_fixed,aberth_300,rootfind_stepsize_300,13,4220.259,10,30,3,2025-08-21 19:30:55
step_size_fixed,aberth_300,rootfind_stepsize_300,14,4385.297,10,30,3,2025-08-21 19:30:59
step_size_fixed,aberth_300,rootfind_stepsize_300,15,4262.405,10,30,3,2025-08-21 19:31:04
step_size_fixed,aberth_300,rootfind_stepsize_300,16,4246.126,10,30,3,2025-08-21 19:31:08
step_size_fixed,aberth_300,rootfind_stepsize_300,17,4291.636,10,30,3,2025-08-21 19:31:12
step_size_fixed,aberth_300,rootfind_stepsize_300,18,4281.675,10,30,3,2025-08-21 19:31:16
step_size_fixed,aberth_300,rootfind_stepsize_300,19,4350.411,10,30,3,2025-08-21 19:31:21
step_size_fixed,aberth_300,rootfind_stepsize_300,20,4313.166,10,30,3,2025-08-21 19:31:25
step_size_fixed,aberth_500,rootfind_stepsize_500,1,5776.355,10,30,3,2025-08-21 19:31:42
step_size_fixed,aberth_500,rootfind_stepsize_500,2,4727.261,10,30,3,2025-08-21 19:31:46
step_size_fixed,aberth_500,rootfind_stepsize_500,3,4392.884,10,30,3,2025-08-21 19:31:51
step_size_fixed,aberth_500,rootfind_stepsize_500,4,4440.847,10,30,3,2025-08-21 19:31:55
step_size_fixed,aberth_500,rootfind_stepsize_500,5,4987.709,10,30,3,2025-08-21 19:32:00
step_size_fixed,aberth_500,rootfind_stepsize_500,6,4942.653,10,30,3,2025-08-21 19:32:05
step_size_fixed,aberth_500,rootfind_stepsize_500,7,4967.591,10,30,3,2025-08-21 19:32:10
step_size_fixed,aberth_500,rootfind_stepsize_500,8,5041.928,10,30,3,2025-08-21 19:32:15
step_size_fixed,aberth_500,rootfind_stepsize_500,9,4974.950,10,30,3,2025-08-21 19:32:20
step_size_fixed,aberth_500,rootfind_stepsize_500,10,5160.873,10,30,3,2025-08-21 19:32:25
step_size_fixed,aberth_500,rootfind_stepsize_500,11,5048.979,10,30,3,2025-08-21 19:32:30
step_size_fixed,aberth_500,rootfind_stepsize_500,12,4364.410,10,30,3,2025-08-21 19:32:35
step_size_fixed,aberth_500,rootfind_stepsize_500,13,4455.748,10,30,3,2025-08-21 19:32:39
step_size_fixed,aberth_500,rootfind_stepsize_500,14,4403.360,10,30,3,2025-08-21 19:32:44
step_size_fixed,aberth_500,rootfind_stepsize_500,15,4473.559,10,30,3,2025-08-21 19:32:48
step_size_fixed,aberth_500,rootfind_stepsize_500,16,4562.494,10,30,3,2025-08-21 19:32:53
step_size_fixed,aberth_500,rootfind_stepsize_500,17,4454.678,10,30,3,2025-08-21 19:32:57
step_size_fixed,aberth_500,rootfind_stepsize_500,18,4508.208,10,30,3,2025-08-21 19:33:02
step_size_fixed,aberth_500,rootfind_stepsize_500,19,4573.524,10,30,3,2025-08-21 19:33:06
step_size_fixed,aberth_500,rootfind_stepsize_500,20,4509.326,10,30,3,2025-08-21 19:33:11
step_size_fixed,newton_050,rootfind_stepsize_050,1,18952.724,10,30,3,2025-08-21 19:43:01
step_size_fixed,newton_050,rootfind_stepsize_050,2,18393.514,10,30,3,2025-08-21 19:43:20
step_size_fixed,newton_050,rootfind_stepsize_050,3,17968.420,10,30,3,2025-08-21 19:43:38
step_size_fixed,newton_050,rootfind_stepsize_050,4,18126.297,10,30,3,2025-08-21 19:43:56
step_size_fixed,newton_050,rootfind_stepsize_050,5,17630.488,10,30,3,2025-08-21 19:44:14
step_size_fixed,newton_050,rootfind_stepsize_050,6,17728.717,10,30,3,2025-08-21 19:44:31
step_size_fixed,newton_050,rootfind_stepsize_050,7,18038.947,10,30,3,2025-08-21 19:44:49
step_size_fixed,newton_050,rootfind_stepsize_050,8,17750.669,10,30,3,2025-08-21 19:45:07
step_size_fixed,newton_050,rootfind_stepsize_050,9,17786.422,10,30,3,2025-08-21 19:45:25
step_size_fixed,newton_050,rootfind_stepsize_050,10,17284.467,10,30,3,2025-08-21 19:45:42
step_size_fixed,newton_050,rootfind_stepsize_050,11,17651.654,10,30,3,2025-08-21 19:46:00
step_size_fixed,newton_050,rootfind_stepsize_050,12,17306.346,10,30,3,2025-08-21 19:46:17
step_size_fixed,newton_050,rootfind_stepsize_050,13,17276.837,10,30,3,2025-08-21 19:46:34
step_size_fixed,newton_050,rootfind_stepsize_050,14,17515.472,10,30,3,2025-08-21 19:46:52
step_size_fixed,newton_050,rootfind_stepsize_050,15,17528.005,10,30,3,2025-08-21 19:47:09
step_size_fixed,newton_050,rootfind_stepsize_050,16,17389.916,10,30,3,2025-08-21 19:47:27
step_size_fixed,newton_050,rootfind_stepsize_050,17,17337.405,10,30,3,2025-08-21 19:47:44
step_size_fixed,newton_050,rootfind_stepsize_050,18,17651.311,10,30,3,2025-08-21 19:48:02
step_size_fixed,newton_050,rootfind_stepsize_050,19,17100.766,10,30,3,2025-08-21 19:48:19
step_size_fixed,newton_050,rootfind_stepsize_050,20,17201.421,10,30,3,2025-08-21 19:48:36
step_size_fixed,newton_075,rootfind_stepsize_075,1,20081.573,10,30,3,2025-08-21 19:49:07
step_size_fixed,newton_075,rootfind_stepsize_075,2,19879.512,10,30,3,2025-08-21 19:49:27
step_size_fixed,newton_075,rootfind_stepsize_075,3,19074.261,10,30,3,2025-08-21 19:49:46
step_size_fixed,newton_075,rootfind_stepsize_075,4,18969.788,10,30,3,2025-08-21 19:50:05
step_size_fixed,newton_075,rootfind_stepsize_075,5,18947.651,10,30,3,2025-08-21 19:50:24
step_size_fixed,newton_075,rootfind_stepsize_075,6,18438.855,10,30,3,2025-08-21 19:50:42
step_size_fixed,newton_075,rootfind_stepsize_075,7,19033.236,10,30,3,2025-08-21 19:51:01
step_size_fixed,newton_075,rootfind_stepsize_075,8,19073.269,10,30,3,2025-08-21 19:51:20
step_size_fixed,newton_075,rootfind_stepsize_075,9,18880.465,10,30,3,2025-08-21 19:51:39
step_size_fixed,newton_075,rootfind_stepsize_075,10,18702.799,10,30,3,2025-08-21 19:51:58
step_size_fixed,newton_075,rootfind_stepsize_075,11,19064.489,10,30,3,2025-08-21 19:52:17
step_size_fixed,newton_075,rootfind_stepsize_075,12,18906.660,10,30,3,2025-08-21 19:52:36
step_size_fixed,newton_075,rootfind_stepsize_075,13,18801.217,10,30,3,2025-08-21 19:52:55
step_size_fixed,newton_075,rootfind_stepsize_075,14,18842.193,10,30,3,2025-08-21 19:53:13
step_size_fixed,newton_075,rootfind_stepsize_075,15,19054.020,10,30,3,2025-08-21 19:53:32
step_size_fixed,newton_075,rootfind_stepsize_075,16,18940.117,10,30,3,2025-08-21 19:53:51
step_size_fixed,newton_075,rootfind_stepsize_075,17,18845.744,10,30,3,2025-08-21 19:54:10
step_size_fixed,newton_075,rootfind_stepsize_075,18,19035.673,10,30,3,2025-08-21 19:54:29
step_size_fixed,newton_075,rootfind_stepsize_075,19,18720.408,10,30,3,2025-08-21 19:54:48
step_size_fixed,newton_075,rootfind_stepsize_075,20,19184.696,10,30,3,2025-08-21 19:55:07
step_size_fixed,newton_100,rootfind_stepsize_100,1,19893.113,10,30,3,2025-08-21 19:55:38
step_size_fixed,newton_100,rootfind_stepsize_100,2,20973.967,10,30,3,2025-08-21 19:55:59
step_size_fixed,newton_100,rootfind_stepsize_100,3,18755.878,10,30,3,2025-08-21 19:56:17
step_size_fixed,newton_100,rootfind_stepsize_100,4,19375.278,10,30,3,2025-08-21 19:56:37
step_size_fixed,newton_100,rootfind_stepsize_100,5,18840.164,10,30,3,2025-08-21 19:56:56
step_size_fixed,newton_100,rootfind_stepsize_100,6,18761.000,10,30,3,2025-08-21 19:57:14
step_size_fixed,newton_100,rootfind_stepsize_100,7,18677.069,10,30,3,2025-08-21 19:57:33
step_size_fixed,newton_100,rootfind_stepsize_100,8,18310.590,10,30,3,2025-08-21 19:57:51
step_size_fixed,newton_100,rootfind_stepsize_100,9,18928.804,10,30,3,2025-08-21 19:58:10
step_size_fixed,newton_100,rootfind_stepsize_100,10,18994.112,10,30,3,2025-08-21 19:58:29
step_size_fixed,newton_100,rootfind_stepsize_100,11,18709.408,10,30,3,2025-08-21 19:58:48
step_size_fixed,newton_100,rootfind_stepsize_100,12,18854.717,10,30,3,2025-08-21 19:59:07
step_size_fixed,newton_100,rootfind_stepsize_100,13,18966.033,10,30,3,2025-08-21 19:59:26
step_size_fixed,newton_100,rootfind_stepsize_100,14,18572.502,10,30,3,2025-08-21 19:59:44
step_size_fixed,newton_100,rootfind_stepsize_100,15,18351.124,10,30,3,2025-08-21 20:00:03
step_size_fixed,newton_100,rootfind_stepsize_100,16,18315.585,10,30,3,2025-08-21 20:00:21
step_size_fixed,newton_100,rootfind_stepsize_100,17,18743.245,10,30,3,2025-08-21 20:00:40
step_size_fixed,newton_100,rootfind_stepsize_100,18,18483.062,10,30,3,2025-08-21 20:00:58
step_size_fixed,newton_100,rootfind_stepsize_100,19,18720.258,10,30,3,2025-08-21 20:01:17
step_size_fixed,newton_100,rootfind_stepsize_100,20,19156.470,10,30,3,2025-08-21 20:01:36
