experiment_name,run_name,dataset_name,run_number,parameter_type,parameter_index,true_value,estimated_value,error,probability,timestamp
root_finding,JenkinsTraub,med_a,1,break_indicator,59,0.00000000,0.00822222,0.00822222,0.00822222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,60,0.00000000,0.01355556,0.01355556,0.01355556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,61,0.00000000,0.00711111,0.00711111,0.00711111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,62,0.00000000,0.00422222,0.00422222,0.00422222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,63,0.00000000,0.00444444,0.00444444,0.00444444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,64,0.00000000,0.00444444,0.00444444,0.00444444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,65,0.00000000,0.00488889,0.00488889,0.00488889,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,66,0.00000000,0.00866667,0.00866667,0.00866667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,67,0.00000000,0.01022222,0.01022222,0.01022222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,68,0.00000000,0.91111111,0.91111111,0.91111111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,69,0.00000000,0.11377778,0.11377778,0.11377778,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,70,0.00000000,0.01155556,0.01155556,0.01155556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,71,0.00000000,0.00711111,0.00711111,0.00711111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,72,0.00000000,0.00800000,0.00800000,0.00800000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,73,0.00000000,0.00866667,0.00866667,0.00866667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,74,0.00000000,0.01155556,0.01155556,0.01155556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,75,0.00000000,0.00955556,0.00955556,0.00955556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,76,0.00000000,0.00733333,0.00733333,0.00733333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,77,0.00000000,0.00288889,0.00288889,0.00288889,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,78,0.00000000,0.00555556,0.00555556,0.00555556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,79,0.00000000,0.00400000,0.00400000,0.00400000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,80,0.00000000,0.00844444,0.00844444,0.00844444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,81,0.00000000,0.01022222,0.01022222,0.01022222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,82,0.00000000,0.01244444,0.01244444,0.01244444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,83,0.00000000,0.01066667,0.01066667,0.01066667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,84,0.00000000,0.02177778,0.02177778,0.02177778,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,85,0.00000000,0.82266667,0.82266667,0.82266667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,86,0.00000000,0.16822222,0.16822222,0.16822222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,87,0.00000000,0.04555556,0.04555556,0.04555556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,88,0.00000000,0.00866667,0.00866667,0.00866667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,89,0.00000000,0.00622222,0.00622222,0.00622222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,90,0.00000000,0.00555556,0.00555556,0.00555556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,91,0.00000000,0.00711111,0.00711111,0.00711111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,92,0.00000000,0.00333333,0.00333333,0.00333333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,93,0.00000000,0.00511111,0.00511111,0.00511111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,94,0.00000000,0.00733333,0.00733333,0.00733333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,95,0.00000000,0.00666667,0.00666667,0.00666667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,96,0.00000000,0.00733333,0.00733333,0.00733333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,97,0.00000000,0.01311111,0.01311111,0.01311111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,98,0.00000000,0.01511111,0.01511111,0.01511111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,99,0.00000000,0.01244444,0.01244444,0.01244444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,100,0.00000000,0.00866667,0.00866667,0.00866667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,101,0.00000000,0.00888889,0.00888889,0.00888889,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,102,0.00000000,0.92977778,0.92977778,0.92977778,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,103,0.00000000,0.07044444,0.07044444,0.07044444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,104,0.00000000,0.02066667,0.02066667,0.02066667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,105,0.00000000,0.00933333,0.00933333,0.00933333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,106,0.00000000,0.00733333,0.00733333,0.00733333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,107,0.00000000,0.00622222,0.00622222,0.00622222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,108,0.00000000,0.00444444,0.00444444,0.00444444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,109,0.00000000,0.00422222,0.00422222,0.00422222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,110,0.00000000,0.00644444,0.00644444,0.00644444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,111,0.00000000,0.00222222,0.00222222,0.00222222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,112,0.00000000,0.00333333,0.00333333,0.00333333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,113,0.00000000,0.00933333,0.00933333,0.00933333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,114,0.00000000,0.00533333,0.00533333,0.00533333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,115,0.00000000,0.00400000,0.00400000,0.00400000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,116,0.00000000,0.00444444,0.00444444,0.00444444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,117,0.00000000,0.00711111,0.00711111,0.00711111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,118,0.00000000,0.00777778,0.00777778,0.00777778,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,119,0.00000000,0.87955556,0.87955556,0.87955556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,120,0.00000000,0.20133333,0.20133333,0.20133333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,121,0.00000000,0.09733333,0.09733333,0.09733333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,122,0.00000000,0.06688889,0.06688889,0.06688889,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,123,0.00000000,0.07644444,0.07644444,0.07644444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,124,0.00000000,0.09644444,0.09644444,0.09644444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,125,0.00000000,0.06311111,0.06311111,0.06311111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,126,0.00000000,0.99355556,0.99355556,0.99355556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,127,0.00000000,0.15000000,0.15000000,0.15000000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,128,0.00000000,0.04800000,0.04800000,0.04800000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,129,0.00000000,0.01133333,0.01133333,0.01133333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,130,0.00000000,0.05355556,0.05355556,0.05355556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,131,0.00000000,0.06111111,0.06111111,0.06111111,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,132,0.00000000,0.05155556,0.05155556,0.05155556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,133,0.00000000,0.02866667,0.02866667,0.02866667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,134,0.00000000,0.04488889,0.04488889,0.04488889,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,135,0.00000000,0.06133333,0.06133333,0.06133333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,136,0.00000000,0.96933333,0.96933333,0.96933333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,137,0.00000000,0.04177778,0.04177778,0.04177778,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,138,0.00000000,0.01155556,0.01155556,0.01155556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,139,0.00000000,0.00733333,0.00733333,0.00733333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,140,0.00000000,0.00644444,0.00644444,0.00644444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,141,0.00000000,0.00644444,0.00644444,0.00644444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,142,0.00000000,0.00288889,0.00288889,0.00288889,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,143,0.00000000,0.00444444,0.00444444,0.00444444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,144,0.00000000,0.00400000,0.00400000,0.00400000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,145,0.00000000,0.00488889,0.00488889,0.00488889,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,146,0.00000000,0.00600000,0.00600000,0.00600000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,147,0.00000000,0.00466667,0.00466667,0.00466667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,148,0.00000000,0.01244444,0.01244444,0.01244444,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,149,0.00000000,0.00955556,0.00955556,0.00955556,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,150,1.00000000,0.01133333,0.98866667,0.01133333,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,151,0.00000000,0.01000000,0.01000000,0.01000000,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,152,0.00000000,0.01822222,0.01822222,0.01822222,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,153,0.00000000,0.85466667,0.85466667,0.85466667,2025-08-19 20:05:37
root_finding,JenkinsTraub,med_a,1,break_indicator,154,0.00000000,0.15800000,0.15800000,0.15800000,2025-08-19 20:05:37
